provider_id,first_name,last_name,provider_specialty,email_address,phone_number,date_joined
1,Sally,Sue,Pediatrics,sallysue@healthcare.org,5551211001,1993-01-01
2,Mike,Myers,Pediatrics,mikemyers@healthcare.org,5551211002,1993-05-02
3,Jordan,Michael,Pediatrics,jordanmichael@healthcare.org,5551211003,1993-06-24
4,Ted,Texas,Pediatrics,tedtexas@healthcare.org,5551211004,1993-12-23
5,Ala,Bama,Pediatrics,alabama@healthcare.org,5551211005,1995-01-10
6,Harry,Kane,Pediatrics,NULL,5551211006,1995-07-21
7,Barry,Bar,Pediatrics,barrybar@healthcare.org,5551211007,1995-11-21
8,Ted,Green,Pediatrics,tedgreen@healthcare.org,5551211008,1996-05-30
9,Ted,Black,Pediatrics,tedblack@healthcare.org,NULL,1997-02-20
10,Fred,Man,Surgery,fredman@healthcare.org,5551211010,1998-03-17
11,Kim,Kimberly,Surgery,kimkimberly@healthcare.org,5551211011,1998-05-10
12,Sarah,Ab,Surgery,sarahab@healthcare.org,5551211012,1998-08-18
13,Abigail,Marriot,Surgery,NULL,NULL,1998-11-08
14,Dave,Yu,Surgery,daveyu@healthcare.org,5551211014,1999-06-26
15,Christian,Saint,Surgery,christiansaint@healthcare.org,5551211015,2000-08-27
16,Perry,Pardon,Surgery,perrypardon@healthcare.org,5551211016,2001-02-13
17,Kent,Kendall,Cardiology,kentkendall@healthcare.org,5551211017,2001-12-22
18,Ryan,Kevin,Cardiology,ryankevin@healthcare.org,5551211018,2003-01-14
19,Tyler,Conner,Cardiology,NULL,5551211019,2003-07-09
20,Bailey,Barret,Cardiology,baileybarret@healthcare.org,5551211020,2003-08-20
21,Megan,Bonco,Cardiology,meganbonco@healthcare.org,5551211021,2004-02-17
22,Joesph,Walter,Cardiology,joesphwalter@healthcare.org,5551211022,2005-02-04
23,Walter,King,Cardiology,walterking@healthcare.org,5551211023,2006-03-12
24,Luke,Long,Cardiology,lukelong@healthcare.org,NULL,2006-04-28
25,Justin,Time,PrimaryCare,justintime@healthcare.org,NULL,2006-06-21
26,Mike,Joseph,PrimaryCare,mikejoseph@healthcare.org,5551211026,2006-12-29
27,Bridget,Brenda,PrimaryCare,bridgetbrenda@healthcare.org,5551211027,2007-06-30
28,Brenda,Bing,PrimaryCare,brendabing@healthcare.org,5551211028,2007-11-18
29,Chandler,Bing,PrimaryCare,chandlerbing@healthcare.org,5551211029,2007-12-07
30,Joesph,Ross,PrimaryCare,joesphross@healthcare.org,5551211030,2008-11-08
31,Dwight,Scott,PrimaryCare,NULL,5551211031,2009-04-18
32,Michael,Halpert,PrimaryCare,michaelhalpert@healthcare.org,5551211032,2009-09-02
33,Pamela,Ding,PrimaryCare,pamelading@healthcare.org,5551211033,2009-11-12
34,Tony,Creed,PrimaryCare,tonycreed@healthcare.org,5551211034,2010-04-28
35,Phyllis,Stanley,PrimaryCare,NULL,NULL,2011-05-05
36,Holly,Hue,PrimaryCare,hollyhue@healthcare.org,5551211036,2012-06-24
37,Trent,Tye,PrimaryCare,trenttye@healthcare.org,5551211037,2013-01-12
38,Kimberly,Cone,PrimaryCare,kimberlycone@healthcare.org,5551211038,2013-05-23
39,Harry,West,PrimaryCare,harrywest@healthcare.org,5551211039,2013-07-14
40,Rosie,Renter,PrimaryCare,rosierenter@healthcare.org,5551211040,2013-09-11
